date,accelerationism,siege,read_siege,mason,atomwaffen
2011-09-30,0,1,0,1,0
2011-10-31,0,0,0,0,0
2011-11-30,0,0,0,1,0
2011-12-31,0,3,0,5,0
2012-01-31,0,4,0,0,0
2012-02-29,0,2,0,5,0
2012-03-31,0,2,0,1,0
2012-04-30,0,3,0,1,0
2012-05-31,0,0,0,1,0
2012-06-30,0,4,0,2,0
2012-07-31,0,4,0,0,0
2012-08-31,0,1,0,3,0
2012-09-30,0,4,0,0,0
2012-10-31,0,7,0,3,0
2012-11-30,0,5,1,5,0
2012-12-31,0,0,0,0,0
2013-01-31,0,1,0,1,0
2013-02-28,0,0,0,0,0
2013-03-31,0,0,0,0,0
2013-04-30,0,0,0,0,0
2013-05-31,0,1,0,0,0
2013-06-30,0,0,0,2,0
2013-07-31,0,1,0,1,0
2013-08-31,0,2,0,0,0
2013-09-30,0,1,0,0,0
2013-10-31,0,2,0,0,0
2013-11-30,0,0,0,1,0
2013-12-31,0,0,0,0,0
2014-01-31,0,2,0,0,0
2014-02-28,0,2,0,0,0
2014-03-31,0,1,0,0,0
2014-04-30,0,1,0,0,0
2014-05-31,0,4,0,0,0
2014-06-30,0,5,0,2,0
2014-07-31,0,0,0,0,0
2014-08-31,0,1,0,1,0
2014-09-30,0,0,0,0,0
2014-10-31,0,1,0,0,0
2014-11-30,0,2,0,3,0
2014-12-31,0,1,0,0,0
2015-01-31,0,0,0,0,0
2015-02-28,0,1,0,0,0
2015-03-31,1,3,0,2,0
2015-04-30,0,13,0,10,2
2015-05-31,0,9,0,5,1
2015-06-30,0,18,1,11,1
2015-07-31,0,10,1,4,1
2015-08-31,0,11,0,2,0
2015-09-30,0,17,1,9,7
2015-10-31,0,27,1,29,11
2015-11-30,0,19,0,26,2
2015-12-31,0,11,2,11,8
2016-01-31,0,5,1,7,5
2016-02-29,0,2,0,6,6
2016-03-31,0,16,0,5,12
2016-04-30,0,44,0,6,9
2016-05-31,0,28,0,4,24
2016-06-30,1,14,1,10,14
2016-07-31,0,32,3,5,9
2016-08-31,0,22,0,3,4
2016-09-30,0,22,3,3,8
2016-10-31,0,6,1,5,10
2016-11-30,6,25,3,12,14
2016-12-31,1,25,2,2,9
2017-01-31,0,49,6,9,4
2017-02-28,4,71,17,23,20
2017-03-31,1,97,23,28,27
2017-04-30,2,80,26,26,36
2017-05-31,0,55,13,15,31
2017-06-30,2,61,19,6,18
2017-07-31,2,86,11,64,17
2017-08-31,6,65,25,35,17
2017-09-30,2,77,23,36,14
2017-10-31,0,29,7,12,10
2017-11-30,0,15,7,4,3
